Traditional Factory-Wide Overhead,,,,,,,,,,
Department 1,"128,250.00",,,,,,,,,
Department 2,"268,000.00",,,,,,,,,
Support Activities,"182,000.00",,,,,,,,,
Total Overhead,"578,250.00",,,,,,,,,
,,,,,,,,,,
Extra Fine,"20,000.00",cases,,,,,,,,
Family Style,"100,000.00",cases,,,,,,,,
Total Product,"120,000.00",cases,,,,,,,,
,,,,,,,,,,
Overhead Cost Per Unit,4.82,per case,,,,,,,,
,,,,,,,,,,
,Extra Fine,Family Style,,,,,,,,
Direct Materials & Labor,6.00,5.00,per case,,,,,,,
Overhead,4.82,4.82,per case,,,,,,,
Manufacturing Cost,10.82,9.82,per case,,,,,,,
,,,,,,,,,,
Sale Price,18.00,9.00,,,,,,,,
Manufacturing Cost,10.82,9.82,,,,,,,,
Gross Margin,7.18,(0.82),,,,,,,,
,,,,,,,,,,
Activity Based Costing,,,,,,,,,,
,Cost,Units,Unit Type,Cost ,Per unit,Extra Fine,,Family Style,,
Mixing & Cooking,"15,750.00","1,500.00",per machine hour,10.50,per machine hour,500.00,"5,250.00","1,000.00","10,500.00",
Tasting,"112,500.00",600.00,per batch,187.50,per batch,200.00,"37,500.00",400.00,"75,000.00",
Callibration,"250,000.00",400.00,per production run,625.00,per production run,200.00,"125,000.00",200.00,"125,000.00",
Labeling & Defects,"18,000.00","120,000.00",per case,0.15,per case,"20,000.00","3,000.00","100,000.00","15,000.00",
Recipe Formulations,"90,000.00",45.00,per focus group,"2,000.00",per focus group,30.00,"60,000.00",15.00,"30,000.00",
Utilities,"27,000.00","1,500.00",per machine hour,18.00,per machine hour,500.00,"9,000.00","1,000.00","18,000.00",
Materials Handling,"65,000.00",8.00,per container type,"8,125.00",per container type,5.00,"40,625.00",3.00,"24,375.00",
,,,,,,Total,"280,375.00",Total,"297,875.00",
,,,,,,Total Per Unit,14.02,Total Per Unit,2.98,
,Overhead,Units,Unit Type,Level,Cost Per Activity,Per Unit,Holiday Basket,,Executive Basket,
Wrapping,"500,000.00","100,000.00",units,Unit Level,5.00,per unit,"8,000.00","40,000.00","1,000.00","5,000.00"
Assembling,"400,000.00","20,000.00",direct labor hours,Unit Level,20.00,per direct labor hour,"2,000.00","40,000.00",500.00,"10,000.00"
Product Design,"180,000.00","3,000.00",design hours,Product Level,60.00,per design hour,40.00,"2,400.00",40.00,"2,400.00"
Obtaining Business License,"100,000.00","20,000.00",direct labor hours,Factory Level,5.00,per direct labor hour,"2,000.00","10,000.00",500.00,"2,500.00"
Cooking,"270,000.00","1,000.00",batches,Batch Level,270.00,per batch,80.00,"21,600.00",200.00,"54,000.00"
Total Overhead,"1,450,000.00",,,,,,Total,"114,000.00",Total,"73,900.00"
Direct Labor Hours,72.50,per direct labor hour,,,,,Cost Per Unit,14.25,Cost Per Unit,73.90
,,,,,,,,,,
,Holiday,Executive,,,,,,,,
Direct Labor Hours,"2,000.00",500.00,,,,,,,,
Overhead Applied,"145,000.00","36,250.00",,,,,,,,
Units,"8,000.00","1,000.00",,,,,,,,
Overhead Per Unit,18.13,36.25,,,,,,,,
